53889 林州	无过程[20130519-20130519];无过程[20130521-20130521];无过程[20140521-20140521];
53898 安阳	轻过程[20140520-20140521];
53972 沁阳	无过程[20130512-20130512];无过程[20130519-20130519];无过程[20140520-20140520];
53974 淇县	无过程[20130512-20130512];无过程[20140520-20140520];
53978 济源	无过程[20130519-20130519];
53979 博爱	无过程[20130512-20130512];无过程[20130519-20130519];轻过程[20140520-20140521];
53982 焦作	无过程[20130512-20130512];无过程[20130519-20130519];无过程[20140520-20140520];
53983 封丘	无过程[20140520-20140520];
53984 修武	轻过程[20140520-20140521];
53985 辉县	无过程[20140521-20140521];
53986 新乡	轻过程[20140520-20140521];
53987 武陟	轻过程[20140520-20140521];
53988 获嘉	无过程[20130519-20130519];无过程[20140521-20140521];
53989 原阳	无过程[20130519-20130519];
53990 鹤壁	无过程[20140521-20140521];
53991 汤阴	无过程[20140521-20140521];
53992 浚县	XX;
53993 内黄	XX;
53994 卫辉	XX;
53995 滑县	XX;
53997 延津	无过程[20140520-20140520];
53998 长垣	无过程[20140521-20140521];
54817 台前	XX;
54900 濮阳	XX;
54901 南乐	XX;
54902 清丰	XX;
54903 范县	XX;
57051 三门峡	XX;
57056 灵宝	XX;
57063 渑池	XX;
57065 宜阳	无过程[20140520-20140520];
57066 洛宁	XX;
57067 卢氏	XX;
57070 新安	XX;
57071 孟津	XX;
57072 孟州	XX;
57074 伊川	轻过程[20130512-20130512];无过程[20130519-20130519];无过程[20140520-20140520];
57075 汝州	轻过程[20130512-20130513];
57076 偃师	轻过程[20130512-20130512];无过程[20130519-20130519];轻过程[20140520-20140521];
57077 栾川	无过程[20130521-20130521];
57078 汝阳	XX;
57079 温县	无过程[20130519-20130519];轻过程[20140520-20140521];
57080 巩义	无过程[20130519-20130519];
57081 荥阳	无过程[20140521-20140521];
57082 登封	无过程[20130512-20130512];无过程[20140520-20140520];
57083 郑州	中过程[20130512-20130513];
57085 新密	无过程[20130521-20130521];
57086 新郑	无过程[20130512-20130512];无过程[20140520-20140520];
57087 长葛	无过程[20130512-20130512];无过程[20140520-20140520];
57088 禹州	无过程[20130512-20130512];
57089 许昌	无过程[20140520-20140520];
57090 中牟	无过程[20130512-20130512];
57091 开封	无过程[20130512-20130512];
57093 兰考	无过程[20130512-20130512];轻过程[20140520-20140521];
57094 尉氏	XX;
57095 鄢陵	XX;
57096 杞县	XX;
57098 扶沟	无过程[20140520-20140520];
57099 太康	XX;
57156 西峡	无过程[20140520-20140520];
57162 嵩县	XX;
57169 内乡	XX;
57171 平顶山	无过程[20130513-20130513];无过程[20140520-20140520];
57173 鲁山	中过程[20130512-20130513];
57175 镇平	XX;
57176 南召	XX;
57177 舞钢	轻过程[20130512-20130513];
57178 南阳	XX;
57179 方城	XX;
57180 郏县	无过程[20130513-20130513];无过程[20130519-20130519];
57181 宝丰	中过程[20130512-20130513];无过程[20130519-20130519];无过程[20130521-20130521];
57182 襄城	无过程[20140520-20140520];
57183 临颖	XX;
57184 叶县	XX;
57185 舞阳	无过程[20130513-20130513];
57186 漯河	无过程[20130512-20130512];
57187 社旗	XX;
57188 西平	无过程[20130512-20130512];无过程[20130521-20130521];
57189 遂平	无过程[20130512-20130512];无过程[20130521-20130521];
57190 泛区	XX;
57191 通许	XX;
57192 淮阳	XX;
57193 西华	XX;
57194 上蔡	XX;
57195 周口	XX;
57196 项城	XX;
57197 汝南	XX;
57198 商水	XX;
57261 淅川	XX;
57271 新野	XX;
57273 唐河	XX;
57274 邓州	XX;
57281 泌阳	XX;
57285 桐柏	XX;
57290 驻马店	XX;
57292 平舆	无过程[20130521-20130521];
57293 新蔡	XX;
57294 确山	无过程[20130512-20130512];无过程[20130521-20130521];
57295 正阳	XX;
57296 息县	XX;
57297 信阳	XX;
57298 罗山	XX;
57299 光山	XX;
57396 新县	XX;
58001 睢县	XX;
58004 民权	XX;
58005 商丘	XX;
58006 虞城	XX;
58007 柘城	XX;
58008 宁陵	XX;
58017 夏邑	XX;
58100 郸城	XX;
58101 鹿邑	XX;
58104 沈丘	XX;
58111 永城	XX;
58205 淮滨	XX;
58207 潢川	无过程[20130513-20130513];
58208 固始	无过程[20130513-20130513];
58301 商城	无过程[20130513-20130513];
